participant number,dialog number,friendliness,task,time in seconds,number of turns
35,1,TERSE,"You are looking for cheap gastropub food. If you cannot find any, try different price ranges",141.89615297317505,15
35,2,TERSE,You want to find a Spanish restaurant where you can stay for a while,52.35618233680725,8
35,3,TERSE,"Find a moderately priced European restaurant in the south of the city. If none are available, try the center of the city",73.53267478942871,11
35,4,TERSE,It is your brother his birthday! You are looking for a moderately priced Moroccan restaurant where you can stay for a while,36.25547170639038,7
35,5,TERSE,You watched Squid Game and are now craving Korean food. Find a Korean restaurant in your city. Make sure you get the postal code,59.8106734752655,11
35,1,FRIENDLY,"Find an cheaply priced Persian restaurant in the west of the city. If none are available, try the north of the city",98.72468447685242,11
35,2,FRIENDLY,Find a romantic restaurant,33.75054430961609,5
35,3,FRIENDLY,"You remember a coworker being ecstatic about Tuscan food, but you canâ€™t remember where the restaurant is located. You only remember the restaurant being busy and expensive",100.20417380332948,12
35,4,FRIENDLY,You want to find an Indian restaurant in the north of the city.,44.42090940475464,7
35,5,FRIENDLY,You want to find an expensive priced Chinese restaurant located in the south of the city. Make sure you get the address of the restaurant,53.90398979187012,7
36,1,FRIENDLY,Find a restaurant that is suitable for children,100.53337216377258,8
36,2,FRIENDLY,"You are looking for cheap gastropub food. If you cannot find any, try different price ranges",96.9966208934784,11
36,3,FRIENDLY,You are craving a cheap traditional meal. Find a suitable restaurant,50.94699573516846,7
36,4,FRIENDLY,"You want to find a Swiss restaurant in the center of the city. Make sure you get all contact details of the restaurant (adress, postal code and phone number)",56.77930307388306,11
36,5,FRIENDLY,You want to find an Indian restaurant in the north of the city.,57.84514832496643,7
36,1,TERSE,Find an expensive Mediterranean restaurant. Make sure you get the phone number,42.038543462753296,8
36,2,TERSE,Find a busy Thai restaurant. Make sure you get all their contact information,74.63518500328064,8
36,3,TERSE,You want to find an expensive priced European restaurant located in the center of the city. Make sure you get the phone number of the restaurant,63.91781234741211,8
36,4,TERSE,You want to find a expensive Japanese restaurant where you can stay long,53.87471985816956,7
36,5,TERSE,"Find an cheaply priced Persian restaurant in the west of the city. If none are available, try the north of the city",42.16846132278442,11
37,1,TERSE,You want to find a Spanish restaurant where you can stay for a while,63.29342842102051,11
37,2,TERSE,Find a romantic restaurant,36.72383832931519,7
37,3,TERSE,"You remember a coworker being ecstatic about Tuscan food, but you canâ€™t remember where the restaurant is located. You only remember the restaurant being busy and expensive",69.63485050201416,11
37,4,TERSE,"Find a moderately priced European restaurant in the south of the city. If none are available, try the center of the city",42.59702467918396,11
37,5,TERSE,"You are in the center of the city, and you are starving. You cannot travel far, and you are craving Lebanese food. Try to find a restaurant",39.1905825138092,7
37,1,FRIENDLY,You want to find an expensive priced European restaurant located in the center of the city. Make sure you get the phone number of the restaurant,41.28566789627075,9
37,2,FRIENDLY,You are craving a cheap traditional meal. Find a suitable restaurant,34.65441131591797,7
37,3,FRIENDLY,You are craving seafood and want to enjoy it for a while. Find a restaurant that serves seafood and where you can stay lon,33.282737016677856,7
37,4,FRIENDLY,"You are looking for cheap gastropub food. If you cannot find any, try different price ranges",38.2943754196167,11
37,5,FRIENDLY,Find a restaurant that is suitable for children,34.54835295677185,7
38,1,FRIENDLY,You want to find an expensive priced European restaurant located in the center of the city. Make sure you get the phone number of the restaurant,55.11735987663269,8
38,2,FRIENDLY,You want to find a expensive Japanese restaurant where you can stay long,44.26292443275452,7
38,3,FRIENDLY,"You remember a coworker being ecstatic about Tuscan food, but you canâ€™t remember where the restaurant is located. You only remember the restaurant being busy and expensive",54.40477895736694,7
38,4,FRIENDLY,It is your brother his birthday! You are looking for a moderately priced Moroccan restaurant where you can stay for a while,45.30720663070679,7
38,5,FRIENDLY,"You are looking for cheap gastropub food. If you cannot find any, try different price ranges",60.834646224975586,11
38,1,TERSE,You want to find an expensive priced Chinese restaurant located in the south of the city. Make sure you get the address of the restaurant,34.8946373462677,7
38,2,TERSE,"You want to find a Swiss restaurant in the center of the city. Make sure you get all contact details of the restaurant (adress, postal code and phone number)",41.32427453994751,10
38,3,TERSE,You want to find an Indian restaurant in the north of the city.,34.15971899032593,7
38,4,TERSE,"You are in the center of the city, and you are starving. You cannot travel far, and you are craving Lebanese food. Try to find a restaurant",37.38871455192566,7
38,5,TERSE,Find an expensive Indian restaurant where you can stay long,20.486133813858032,7
