participant number,dialog number,friendliness,task,time in seconds,number of turns
11,1,TERSE,"You want to find a Swiss restaurant in the center of the city. Make sure you get all contact details of the restaurant (adress, postal code and phone number)",47.32572746276856,11
11,2,TERSE,Find an expensive Mediterranean restaurant. Make sure you get the phone number,57.394885301589966,12
11,3,TERSE,You are craving seafood and want to enjoy it for a while. Find a restaurant that serves seafood and where you can stay lon,33.100075483322144,6
11,4,TERSE,You are craving a cheap traditional meal. Find a suitable restaurant,28.05776739120484,5
11,5,TERSE,You want to find an expensive priced Chinese restaurant located in the south of the city. Make sure you get the address of the restaurant,37.72673201560974,5
11,1,FRIENDLY,Find an expensive Indian restaurant where you can stay long,51.614436626434326,5
11,2,FRIENDLY,You watched Squid Game and are now craving Korean food. Find a Korean restaurant in your city. Make sure you get the postal code,53.59511971473694,9
11,3,FRIENDLY,You want to find a expensive Japanese restaurant where you can stay long,62.77098226547241,7
11,4,FRIENDLY,Find a busy Thai restaurant. Make sure you get all their contact information,45.48449110984802,6
11,5,FRIENDLY,"You are looking for cheap gastropub food. If you cannot find any, try different price ranges",80.48629546165466,13
12,1,FRIENDLY,You want to find a expensive Japanese restaurant where you can stay long,365.4046914577484,10
12,2,FRIENDLY,"You remember a coworker being ecstatic about Tuscan food, but you canâ€™t remember where the restaurant is located. You only remember the restaurant being busy and expensive",194.3860158920288,10
12,3,FRIENDLY,You want to find an expensive priced European restaurant located in the center of the city. Make sure you get the phone number of the restaurant,129.1637978553772,9
12,4,FRIENDLY,Find a busy Thai restaurant. Make sure you get all their contact information,69.15525913238525,6
12,5,FRIENDLY,You want to find an expensive priced Chinese restaurant located in the south of the city. Make sure you get the address of the restaurant,46.23928666114807,6
12,1,TERSE,It is your brother his birthday! You are looking for a moderately priced Moroccan restaurant where you can stay for a while,66.11992502212524,5
12,2,TERSE,You are craving seafood and want to enjoy it for a while. Find a restaurant that serves seafood and where you can stay lon,55.12420439720154,8
12,3,TERSE,Find an expensive Mediterranean restaurant. Make sure you get the phone number,57.32258105278015,8
12,4,TERSE,Find a romantic restaurant,31.192429065704346,7
12,5,TERSE,"You want to find a Swiss restaurant in the center of the city. Make sure you get all contact details of the restaurant (adress, postal code and phone number)",37.97507905960083,8
13,1,TERSE,It is your brother his birthday! You are looking for a moderately priced Moroccan restaurant where you can stay for a while,550.0705585479736,48
13,2,TERSE,Find a busy Thai restaurant. Make sure you get all their contact information,73.88078379631042,6
